street_address,postal_code,latitude,longitude,link,page,num,address_locality,address_region,scrape_generated,link_new,is_same,property
179 Aidan Ct,15226,40.381554,-80.011,https://www.trulia.com/p/pa/pittsburgh/179-aidan-ct-pittsburgh-pa-15226--1116904578,1,0,Pittsburgh,PA,179 aidan ct pittsburgh pa 15226,179 aidan ct pittsburgh pa 15226,1,0
627 Oxford Blvd,15243,40.3678,-80.07503,https://www.trulia.com/p/pa/pittsburgh/627-oxford-blvd-pittsburgh-pa-15243--2014310370,1,1,Pittsburgh,PA,627 oxford blvd pittsburgh pa 15243,627 oxford blvd pittsburgh pa 15243,1,0
382 Ambard Ave,15202,40.504215,-80.04774,https://www.trulia.com/p/pa/pittsburgh/382-ambard-ave-pittsburgh-pa-15202--2014040934,1,2,Pittsburgh,PA,382 ambard ave pittsburgh pa 15202,382 ambard ave pittsburgh pa 15202,1,0
4131 Tuxey Ave,15227,40.362812,-79.97881,https://www.trulia.com/p/pa/pittsburgh/4131-tuxey-ave-pittsburgh-pa-15227--2014213547,1,3,Pittsburgh,PA,4131 tuxey ave pittsburgh pa 15227,4131 tuxey ave pittsburgh pa 15227,1,0
3116 Villawood Ave,15227,40.38072,-79.96987,https://www.trulia.com/p/pa/pittsburgh/3116-villawood-ave-pittsburgh-pa-15227--2014210497,1,4,Pittsburgh,PA,3116 villawood ave pittsburgh pa 15227,3116 villawood ave pittsburgh pa 15227,1,0
305-307 Lancers Way,15237,40.558483,-80.042694,https://www.trulia.com/p/pa/pittsburgh/305-307-lancers-way-pittsburgh-pa-15237--2189445670,1,5,Pittsburgh,PA,305-307 lancers way pittsburgh pa 15237,305 307 lancers way pittsburgh pa 15237,0,0
138 Rossmor Ct,15229,40.51041,-80.039276,https://www.trulia.com/p/pa/pittsburgh/138-rossmor-ct-pittsburgh-pa-15229--2014224297,1,6,Pittsburgh,PA,138 rossmor ct pittsburgh pa 15229,138 rossmor ct pittsburgh pa 15229,1,0
7025 Bennington Woods Dr,15237,40.554783,-79.999626,https://www.trulia.com/p/pa/pittsburgh/7025-bennington-woods-dr-pittsburgh-pa-15237--2014280186,1,7,Pittsburgh,PA,7025 bennington woods dr pittsburgh pa 15237,7025 bennington woods dr pittsburgh pa 15237,1,0
114 Buehner Dr,15237,40.537548,-80.018616,https://www.trulia.com/p/pa/pittsburgh/114-buehner-dr-pittsburgh-pa-15237--2014268750,1,8,Pittsburgh,PA,114 buehner dr pittsburgh pa 15237,114 buehner dr pittsburgh pa 15237,1,0
20 48th St,15201,40.47607,-79.95836,https://www.trulia.com/p/pa/pittsburgh/20-48th-st-pittsburgh-pa-15201--2014033019,1,9,Pittsburgh,PA,20 48th st pittsburgh pa 15201,20 48th st pittsburgh pa 15201,1,0
1439 Nixon St,15233,40.45909,-80.02951,https://www.trulia.com/p/pa/pittsburgh/1439-nixon-st-pittsburgh-pa-15233--2014231855,1,10,Pittsburgh,PA,1439 nixon st pittsburgh pa 15233,1439 nixon st pittsburgh pa 15233,1,0
114 Tree Line Ct,15237,40.524323,-80.07939,https://www.trulia.com/p/pa/pittsburgh/114-tree-line-ct-pittsburgh-pa-15237--2014268816,1,11,Pittsburgh,PA,114 tree line ct pittsburgh pa 15237,114 tree line ct pittsburgh pa 15237,1,0
