address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
179 Aidan Ct,https://www.trulia.com/p/pa/pittsburgh/179-aidan-ct-pittsburgh-pa-15226--1116904578,3,2,1756,"['Last Sold: Nov 28, 2019', '3% below list $225K']",1,1,0,0,1,Townhouse,"4,684 sqft",2008,7,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,Vinyl,Asphalt,217500
627 Oxford Blvd,https://www.trulia.com/p/pa/pittsburgh/627-oxford-blvd-pittsburgh-pa-15243--2014310370,3,1,1232,"['Last Sold: Nov 27, 2019', '1% below list $200K']",0,0,0,0,0,Single Family Home,"9,000 sqft",1950,6,Other,,Central,Attached Garage,,Colonial,2,Brick,Shake Shingle,198000
382 Ambard Ave,https://www.trulia.com/p/pa/pittsburgh/382-ambard-ave-pittsburgh-pa-15202--2014040934,3,1,1708,"['Last Sold: Nov 27, 2019', '11% below list $199K']",0,0,1,1,1,Single Family Home,"5,000 sqft",1920,7,Other,Gas,,"Detached Garage, Off Street, On Street",2,Craftsman,2,Wood,Slate,179000
4131 Tuxey Ave,https://www.trulia.com/p/pa/pittsburgh/4131-tuxey-ave-pittsburgh-pa-15227--2014213547,3,1,1475,"['Last Sold: Nov 27, 2019', '18% below list $100K']",0,0,0,0,0,Single Family Home,"8,515 sqft",1940,6,Other,Gas,Wall,Attached Garage,,CapeCod,1,Brick,Shake Shingle,85000
3116 Villawood Ave,https://www.trulia.com/p/pa/pittsburgh/3116-villawood-ave-pittsburgh-pa-15227--2014210497,3,2,1387,"['Last Sold: Nov 26, 2019', '1% over list $129K']",0,0,0,0,0,Single Family Home,"4,316 sqft",1950,6,Other,,Central,Attached Garage,,CapeCod,,Brick,Shake Shingle,130600
305-307 Lancers Way,https://www.trulia.com/p/pa/pittsburgh/305-307-lancers-way-pittsburgh-pa-15237--2189445670,4,2,2456,"['Last Sold: Nov 26, 2019', '']",1,1,0,0,1,Multi Family,0.3 acres,1983,11,Other,Gas,Central,Attached Garage,3,,2,Brick Stone Vinyl,Asphalt,315000
138 Rossmor Ct,https://www.trulia.com/p/pa/pittsburgh/138-rossmor-ct-pittsburgh-pa-15229--2014224297,2,1,1037,"['Last Sold: Nov 26, 2019', '1% over list $145K']",1,0,1,1,1,Townhouse,"2,089 sqft",1988,6,Forced Air,Gas,Central,Attached Garage,1,Colonial,2,Brick Vinyl,Asphalt,147000
7025 Bennington Woods Dr,https://www.trulia.com/p/pa/pittsburgh/7025-bennington-woods-dr-pittsburgh-pa-15237--2014280186,4,2,2481,"['Last Sold: Nov 26, 2019', '4% below list $445K']",1,1,1,1,1,Single Family Home,0.5 acres,1991,8,Forced Air,Gas,Central,Attached Garage,,Colonial,2,Brick,Composition,428000
114 Buehner Dr,https://www.trulia.com/p/pa/pittsburgh/114-buehner-dr-pittsburgh-pa-15237--2014268750,3,1,1118,"['Last Sold: Nov 26, 2019', '7% below list $220K']",1,1,1,1,1,Single Family Home,0.28 acres,1950,7,Forced Air,Gas,Central,"Attached Garage, Off Street",3,CapeCod,1,Vinyl,Asphalt,205000
20 48th St,https://www.trulia.com/p/pa/pittsburgh/20-48th-st-pittsburgh-pa-15201--2014033019,4,2,2080,"['Last Sold: Nov 26, 2019', '']",0,0,0,0,0,Multi Family,"1,406 sqft",1890,7,Other,,,,,,3,Brick,Shake Shingle,280000
