address,postcode,latitude,longitude,restaurant_count,restaurant_rating,restaurant_price,arts_count,grocery_count,walk,transit,bike
179 Aidan Ct,15226,40.381554,-80.011,15,3.5,1.384615385,1,1,76,69,42
627 Oxford Blvd,15243,40.3678,-80.07503,2,3.75,1,1,0,13,27,13
382 Ambard Ave,15202,40.504215,-80.04774,21,3.95,1.363636364,4,2,21,34,
4131 Tuxey Ave,15227,40.362812,-79.97881,30,3.7,1.266666667,3,2,57,42,
3116 Villawood Ave,15227,40.38072,-79.96987,22,4,1.25,0,1,76,69,42
305-307 Lancers Way,15237,40.558483,-80.042694,8,3.875,1.142857143,2,1,29,0,15
138 Rossmor Ct,15229,40.51041,-80.039276,13,3.346153846,1.384615385,1,2,10,37,
7025 Bennington Woods Dr,15237,40.554783,-79.999626,5,3.2,2,0,0,76,69,53
114 Buehner Dr,15237,40.537548,-80.018616,23,2.95,1.388888889,5,1,46,30,
20 48th St,15201,40.47607,-79.95836,58,3.9,1.684210526,20,4,83,46,68
1439 Nixon St,15233,40.45909,-80.02951,11,3.5,1.333333333,5,1,59,48,75
114 Tree Line Ct,15237,40.524323,-80.07939,0,0,0,0,3,15,28,14
5241 Stanton Ave,15201,40.478367,-79.94934,14,3.964285714,1.7,20,2,64,41,37
5712 Wellesley Ave,15206,40.473312,-79.922905,18,3.611111111,1.666666667,7,3,76,69,53
5627 Wilkins Ave,15217,40.44427,-79.92677,83,3.925,1.473684211,14,5,68,56,52
160 Warwick Dr,15241,40.34735,-80.06668,2,3.75,2,1,1,24,36,8
126 Cobblestone Dr,15237,40.53989,-80.08762,1,3.5,2,0,0,0,0,
5354 Cox Ave,15207,40.370403,-79.91841,3,4,1.5,2,1,16,30,6
541 Marie Ave,15202,40.503098,-80.06951,20,3.875,1.461538462,5,1,69,38,
51 N Bryant Ave,15202,40.494106,-80.04921,27,3.625,1.333333333,4,3,70,40,48
255 Church Rd,15241,40.33805,-80.046875,28,2.875,1.684210526,1,3,55,52,21
171 Shadow Ridge Dr,15238,40.526722,-79.85365,0,0,0,1,0,7,0,
304 Bigham St,15211,40.432846,-80.015434,21,3.55,1.9,18,4,69,69,45
1213 Vinemont St,15205,40.433147,-80.04664,23,3.075,1.125,2,2,76,69,42
1416 Evergreen Ave,15209,40.496807,-79.97636,7,3.857142857,2,0,1,45,21,41
334 Benson Cir,15227,40.364307,-79.95954,1,1,0,0,0,19,26,
501 Cherry Ct,15237,40.5444,-80.021484,28,3.175,1.6,6,3,52,33,27
